gene_id,class,Rest,Rclass,tau,theta,gamma
LOC105447824,neut,1.062952493,pos,7.138461662,0.001069795,0.818780259
LOC105447825,neut,0.955878362,pos,0.502946691,0.002888878,-0.284231603
LOC105447826,neut,1.067753076,pos,-0.252848045,0.004355284,1.006612943
LOC105447827,neut,0.339629816,neut,0.043837433,0.003727354,0.250674903
LOC105447828,neut,-1.972569292,neg,-0.840212619,0.004901115,1.512180788
LOC105447829,neut,0.090568686,neut,-0.145744101,0.001982356,1.94299982
LOC105447830,neut,0.450426687,neut,-0.456303382,0.0035028,0.561475464
LOC105447831,neut,0.811237508,pos,0.756611183,0.000763986,-0.311050246
LOC105447832,neut,0.524841307,pos,-0.30296294,0.00425869,0.780567432
LOC105447833,neut,-1.391994203,neg,-0.680146453,0.003449273,0.978969931
LOC105447834,neut,-0.170964219,neut,-0.695566825,0.002082152,0.653824803
LOC105447835,neut,2.163364443,pos,0.409120228,0.002482321,-0.015776166
LOC105447836,neut,-0.296716926,neut,-0.852601715,0.002285425,0.624846894
LOC105447837,neut,0.856341891,pos,1.072256966,0.002671591,0.574633978
LOC105447838,neut,0.248720958,neut,0.072413743,0.003064949,-0.278631427
LOC105447841,neut,1.088600569,pos,-0.568446028,0.001122276,-0.211870145
LOC105447842,neut,0.894566002,pos,-0.419706479,0.004153058,-0.020239624
LOC105447843,neut,-0.211120351,neut,-0.631076064,0.005425325,0.855716052
LOC105447844,neut,0.783326058,pos,2.19165995,0.003250002,0.238243051
LOC105447845,neut,0.6926107,pos,3.144852414,0.004390786,0.402985199
LOC105447846,neut,0.330030265,neut,-0.690830616,0.003499401,0.174629807
LOC105447847,neut,0.294063977,neut,0.255419012,0.003807347,0.093788244
LOC105447848,neut,-0.38223373,neut,-0.486957196,0.001830471,0.854549005
LOC105447849,neut,-0.029359264,neut,2.334407286,0.003234694,1.111277919
LOC105447850,neut,1.151220941,pos,1.661394187,0.003162724,-0.012279189
LOC105447851,neut,-0.335371677,neut,-0.414965742,0.007603164,0.415086136
LOC105447852,neut,0.676457742,neut,-0.668180991,0.003022021,0.540896201
LOC105447853,neut,0.671186017,neut,-0.663851686,0.004350117,0.15142308
LOC105447854,neut,0.250464013,neut,-0.339076614,0.005079146,0.039406591
LOC105447855,neut,1.088966378,pos,0.563184418,0.003504376,-0.281353228
LOC105447856,neut,-0.179758933,neut,-0.259763429,0.004199856,0.48207827
LOC105447857,neut,0.345503745,neut,-0.543395448,0.004421791,2.27740576
LOC105447858,neut,0.218252582,neut,-0.449027315,0.005323457,2.460871492
LOC105447860,neut,-0.290341225,neut,-0.201564029,0.003996531,0.771207409
LOC105447861,neut,-0.77290406,neut,-0.76539196,0.001577118,0.814704026
LOC105447863,neut,2.537278358,pos,0.571751784,0.000915864,-0.706180349
LOC105447865,neut,-0.798128573,neut,-0.685516943,0.001383675,0.833192792
LOC105447866,neut,1.022833566,pos,0.747463726,0.001508394,0.843524457
LOC105447867,pos,-1.836834744,neg,-0.717148244,0.005948469,10.17741898
LOC105447868,neut,1.515787525,pos,-0.647504465,0.001118833,-0.374201834
LOC105447869,neut,-1.197043724,neut,-0.799604495,0.003713661,1.519939554
LOC105447870,neut,-1.171963833,neg,-0.712587831,0.001654767,0.974694805
LOC105447871,neut,-0.39415975,neut,-0.437453376,0.00322933,3.013194414
LOC105447872,neut,0.384730869,neut,-0.287054052,0.00393384,1.399479428
LOC105447873,neut,0.058495311,neut,1.245204815,0.001910801,0.134589452
LOC105447874,neut,-0.232702537,neut,-0.679036103,0.001604949,0.499483322
LOC105447875,neut,-0.453767109,neut,-0.83997222,0.002141587,1.497347014
LOC105447876,neut,-0.959690015,neg,-0.392942921,0.003380488,0.60524301
LOC105447877,neut,0.35330057,neut,0.316845246,0.001166676,0.542521284
LOC105447878,neut,-0.764425943,neut,-0.297736071,0.002118694,0.879614471
LOC105447879,neut,-0.898504617,neg,-0.701499795,0.003494731,0.76269934
LOC105447880,neut,1.45550789,pos,-0.147735093,0.002075647,-0.409808499
LOC105447881,neut,0.474602175,neut,0.045599755,0.001673502,0.562880784
LOC105447882,neut,-0.254138006,neut,-0.312257304,0.001670437,0.185366216
LOC105447883,neut,-0.08280634,neut,-0.685574618,0.002988392,1.969275744
LOC105447884,neut,-0.125967386,neut,-0.315387693,0.004637928,0.939086149
LOC105447885,neut,-0.715000841,neg,-0.551882746,0.004979306,0.517666523
LOC105447886,neut,-1.030978511,neg,1.607087151,0.002220747,0.336205986
LOC105447887,neut,-0.153190636,neut,-0.467224193,0.003652136,1.497585771
LOC105447888,neut,-0.959508708,neut,-0.284759462,0.002300426,1.756115355
LOC105447889,neut,0.144658842,neut,-0.351257657,0.00292069,2.459896345
LOC105447890,neut,0.040942286,neut,-0.85424312,0.004343105,0.233799748
LOC105447891,neut,1.236683071,pos,-0.672611116,0.00256032,-0.286670769
LOC105447892,neut,-0.697249545,neg,-0.497079381,0.00262254,3.040585472
LOC105447893,neut,-1.286929377,neg,-0.397110845,0.00104631,0.981142721
LOC105447894,neut,0.452884826,pos,-0.391105546,0.00493881,0.949587689
LOC105447895,neut,-0.006231396,neut,-0.670345157,0.00515736,3.051453283
LOC105447896,neut,0.617805947,neut,-0.401975108,0.004023693,0.567965505
LOC105447897,neut,1.684080114,pos,-0.004420466,0.001437823,-0.94284066
LOC105447898,neut,-0.648567554,neut,-0.508442889,0.001635635,0.686185596
LOC105447899,neut,-0.436861348,neut,-0.471477435,0.001197288,1.749964846
LOC105447900,neut,0.869289317,pos,-0.723190269,0.003421622,0.197860872
LOC105447901,neut,-0.251897209,neut,-0.472053452,0.002645457,2.984155388
LOC105447902,neut,-0.057402021,neut,-0.763199347,0.00444996,0.246073614
LOC105447903,neut,-1.14818714,neg,-0.844885538,0.005226526,0.987754399
LOC105447904,neut,1.620421205,pos,0.017781449,0.002736776,0.630475659
LOC105447905,neut,-0.577619549,neut,-0.113288528,0.003850693,2.055387401
LOC105447906,neut,0.403064333,neut,-0.54755119,0.003618279,0.883293113
LOC105447907,neut,-0.987813245,neg,-0.568543377,0.003145709,0.664620178
LOC105447908,neut,0.231076342,neut,-0.245304895,0.004428687,1.632795271
LOC105447909,neut,0.181072437,neut,-0.855956767,0.002506889,0.234164194
LOC105447910,neut,1.963282417,pos,4.409574733,0.001574234,-0.061368958
LOC105447911,neut,-0.082130614,neut,0.689930103,0.000918803,0.39870636
LOC105447912,neut,-0.762967297,neg,-0.74329622,0.002451927,1.492082964
LOC105447913,neut,-0.514615599,neut,-0.646745653,0.001314107,0.890477472
LOC105447914,neut,-0.373863517,neut,-0.625245445,0.002265796,0.869949779
LOC105447915,neut,0.045734115,neut,-0.495924942,0.001562177,2.720683347
LOC105447916,neut,-1.180964301,neg,-0.2716904,0.002392759,0.63797567
LOC105447917,neut,1.697422852,pos,-0.601685659,0.003144241,-0.065413975
LOC105447919,neut,0.602278508,pos,-0.692003492,0.003339695,0.585791456
LOC105447920,neut,0.697294172,neut,-0.647464738,0.003106662,0.082584074
LOC105447921,neut,-0.823945978,neg,-0.801362973,0.004537448,1.352501838
LOC105447922,neut,-0.657036975,neut,-0.501708455,0.000958715,0.753143272
LOC105447923,neut,0.324972271,neut,4.67653828,0.000696335,0.02820266
LOC105447924,neut,-1.603877773,neg,-0.664236499,0.00350189,1.519049873
LOC105447925,neut,0.88667285,pos,-0.003190653,0.002409223,1.151311785
LOC105447926,neut,-0.426102661,neut,-0.7579992,0.002352595,0.6946877
LOC105447927,neut,2.058121222,pos,-0.047774571,0.002019537,0.400347644
LOC105447928,neut,0.895413926,pos,-0.408874652,0.002508415,0.516549824
LOC105447929,neut,-0.200117139,neut,-0.643240133,0.002785787,0.834561904
LOC105447930,neut,-0.636081118,neg,-0.671809231,0.004323468,0.293791414
LOC105447931,neut,0.125478784,neut,-0.712610102,0.005093698,-0.605612525
LOC105447932,neut,0.380190959,neut,-0.568866453,0.001724412,0.383413098
LOC105447933,neut,1.071148057,pos,0.575619096,0.001820025,1.042264695
LOC105447934,neut,-0.554685237,neut,0.043543107,0.001288744,0.395598532
LOC105447935,neut,0.12585706,neut,-0.19513467,0.002363916,3.436273088
LOC105447936,neut,-1.246900207,neg,-0.059732059,0.001365549,0.60428879
LOC105447937,neut,0.811912024,pos,-0.429502961,0.001659349,0.515473143
LOC105447938,neut,-0.180534396,neut,0.030574725,0.004435562,0.192916484
LOC105447939,neut,1.595054608,pos,-0.602295323,0.002516515,-0.778514158
LOC105447941,neut,-1.116963786,neut,-0.05658787,0.001492146,0.89991227
LOC105447942,neut,0.122079666,neut,0.56034459,0.002131821,0.983411011
LOC105447943,neut,-1.109180746,neg,-0.566420222,0.002667993,2.692738539
LOC105447944,neut,0.701174908,neut,-0.436451493,0.00249498,-0.106838061
LOC105447945,neut,1.016892611,pos,-0.504652854,0.003411929,-0.152428125
LOC105447947,neut,-0.583487672,neut,0.348769494,0.001435776,1.203226364
LOC105447948,neut,-0.712714719,neut,-0.737139029,0.001854788,0.987622357
LOC105447949,neut,0.462298195,neut,-0.817317025,0.003855995,-0.097412814
LOC105447951,neut,-0.253246644,neut,0.031283815,0.00183009,0.149642266
LOC105447952,neut,-0.539598274,neut,-0.644738312,0.003819637,0.7184635
LOC105447953,neut,0.629113648,neut,-0.2814032,0.003567224,0.807446278
LOC105447954,neut,0.325303699,neut,0.100501941,0.003707519,-0.719239212
LOC105447955,neut,0.026324217,neut,-0.615244007,0.003243078,3.276629004
LOC105447956,neut,0.001273711,neut,-0.687691083,0.002111729,3.166924086
LOC105447957,neut,-1.008598403,neut,-0.053044773,0.001892468,0.845968684
LOC105447958,neut,-0.24337516,neut,-0.537135368,0.000802852,0.613527215
LOC105447959,neut,-0.194428731,neut,-0.894672171,0.002358437,0.5446528
LOC105447960,neut,1.917236451,pos,0.164923408,0.002976889,0.661428509
LOC105447961,neut,0.841498473,neut,-0.488310217,0.001792965,0.449908313
LOC105447962,neut,0.502921461,neut,-0.237708813,0.002060684,0.456569472
LOC105447963,neut,1.224447081,pos,-0.049309746,0.001205927,0.257394254
LOC105447964,neut,0.283057229,neut,-0.679511128,0.001898937,0.326502699
LOC105447965,neut,-0.536295907,neut,-0.420025713,0.001578051,3.270724761
LOC105447966,neut,0.404548697,neut,-0.498236153,0.004246662,0.622507014
LOC105447967,neut,-0.102107082,neut,0.215823712,0.003294571,0.921401846
LOC105447968,neut,0.113479206,neut,3.676766145,0.001537805,0.248898379
LOC105447969,neut,1.022730697,pos,0.474711945,0.002072617,0.303613493
LOC105447970,neut,0.492495446,neut,2.313527408,0.001546174,-0.071730742
LOC105447971,neut,0.927057078,pos,2.97298531,0.00212746,0.06303281
LOC105447974,neut,1.805423716,pos,0.310342374,0.002583929,-0.5718609
LOC105447976,neut,1.12606238,pos,-0.685630785,0.001440612,-0.2602473
LOC105447977,neut,0.447974338,neut,-0.582336849,0.001107571,0.281160272
LOC105447978,neut,-0.829832043,neut,1.414244387,0.003052794,-0.031923067
LOC105447979,neut,0.46542427,neut,0.017199212,0.003633755,0.810464562
LOC105447980,neut,-0.689726889,neut,-0.589575426,0.000966413,0.957929344
LOC105447981,neut,0.617847228,pos,-0.881260423,0.007449033,0.881491519
LOC105447985,neut,1.050724047,neut,-0.549643097,0.001832764,-0.007532203
LOC105447986,neut,0.162540531,neut,0.107204979,0.001929651,0.747376825
LOC105447990,pos,0.380639542,neut,0.453251397,0.003848777,2.522044281
LOC105447991,neut,0.473582146,neut,-0.58916948,0.002953178,0.170959446
LOC105447992,neut,0.493601098,neut,-0.037480879,0.00546327,0.429482488
LOC105447993,neut,-0.26414051,neut,-0.532363463,0.003996693,0.611340323
LOC105447994,neut,-1.077974409,neg,-0.838848973,0.002281416,1.198760717
LOC105447995,pos,0.106196489,neut,-0.730885205,0.005155756,22.94171602
LOC105447996,neut,2.811322299,pos,-0.222678378,0.001026565,-0.506244723
LOC105447997,neut,-0.739170861,neut,-0.854097244,0.003864415,0.869447462
LOC105447998,neut,-1.172352964,neg,-0.806805784,0.001550868,1.23391724
LOC105447999,neut,-0.455575049,neut,-0.76942734,0.002501251,0.742988053
LOC105448000,pos,0.138604923,neut,1.218231691,0.0017524,1.738360694
LOC105448001,neut,0.124873222,neut,-0.496029939,0.003448802,0.536178381
LOC105448002,neut,1.355632039,pos,2.097461769,0.001769238,0.770363085
LOC105448003,neut,1.47600344,pos,-0.165971884,0.002345151,0.420530828
LOC105448004,neut,0.724407155,neut,2.102729438,0.003984576,-0.275439282
LOC105448005,neut,-0.10253361,neut,-0.134840261,0.000720169,1.129324933
LOC105448006,neut,0.37088536,neut,3.696871872,0.001445035,-0.003325465
LOC105448007,neut,0.009491161,neut,3.544005891,0.004869624,0.246568066
LOC105448008,neut,1.358286535,pos,0.335370284,0.002412873,0.65460125
LOC105448009,neut,1.176320868,pos,2.867939354,0.002384982,0.29805794
LOC105448010,neut,0.689428686,pos,1.322884627,0.003851814,0.022536099
LOC105448011,neut,0.782643421,neut,-0.040124443,0.002565364,-0.255850273
LOC105448012,neut,1.168901144,pos,0.891718876,0.0018812,0.753257392
LOC105448013,neut,-1.469141428,neg,0.60391475,0.00182011,0.427564699
LOC105448014,neut,1.897646485,pos,6.819831669,0.00217233,0.265477074
LOC105448015,neut,1.677981606,pos,-0.641083622,0.001728344,-0.50454756
LOC105448016,neut,1.13906621,pos,0.848736312,0.006912469,-0.639389701
LOC105448017,neut,1.109058836,pos,-0.047637959,0.005811184,0.889168053
LOC105448018,neut,0.652871667,neut,0.529316942,0.000818806,0.740065634
LOC105448020,neut,1.279657623,pos,0.130069643,0.001592177,0.175738252
LOC105448021,neut,1.343888936,pos,0.795189165,0.003884274,-0.392045066
LOC105448022,neut,1.17760501,pos,-0.338609595,0.006117614,0.226171494
LOC105448023,neut,1.261955361,pos,0.776658879,0.002742589,0.523668423
LOC105448024,neut,0.263631226,neut,-0.892584268,0.006714032,0.34958957
LOC105448025,neut,0.617329575,neut,-0.17217971,0.003210482,0.353149587
LOC105448026,neut,0.98181939,pos,-0.63065994,0.004413758,1.08839147
LOC105448027,neut,0.738942155,pos,-0.749867711,0.005163842,-0.215203869
LOC105448028,neut,1.777256798,pos,-0.296510446,0.003102258,-0.723455534
LOC105448029,neut,0.567679286,neut,1.668936695,0.002187007,0.396652886
LOC105448030,neut,0.647031163,neut,-0.478573971,0.00320485,0.281696284
LOC105448031,neut,0.196949249,neut,0.126514696,0.004413242,0.532912639
LOC105448032,neut,0.170796881,neut,1.748899809,0.004776561,-0.240149967
LOC105448033,neut,0.209365101,neut,3.990021097,0.002564875,1.180091817
LOC105448034,neut,1.095429324,pos,2.098119448,0.002739562,0.810137399
LOC105448035,neut,1.271173576,pos,0.006046377,0.003716466,0.058174327
LOC105448036,neut,0.623986073,neut,-0.408149531,0.002905042,1.630559675
LOC105448037,neut,-0.287830608,neut,-0.600839669,0.0066635,0.32198907
LOC105448038,neut,0.403606632,neut,-0.678955925,0.003866719,0.297003634
LOC105448039,neut,0.914457536,pos,0.45432228,0.003217042,1.910790337
LOC105448040,pos,0.570049645,neut,0.753021441,0.002394441,2.292301146
LOC105448041,neut,0.921579352,pos,0.128909466,0.003716931,0.084058282
LOC105448042,neut,0.744692016,neut,0.285867647,0.003618509,0.267519754
LOC105448043,neut,0.122256196,neut,0.145656076,0.005842267,-0.042748396
LOC105448044,neut,0.332177021,neut,0.287554835,0.003411995,0.505641616
LOC105448045,neut,1.066465748,pos,-0.39651845,0.003949837,0.31956776
LOC105448046,neut,0.463217214,neut,-0.32930647,0.005010183,-0.622455806
LOC105448047,neut,0.416893957,neut,-0.512911983,0.003961349,1.089004318
LOC105448048,neut,0.959710832,pos,-0.234027482,0.004071578,1.607192077
LOC105448049,neut,0.6848862,neut,-0.270227213,0.003566385,1.123350589
LOC105448050,neut,1.08391214,neut,0.125746761,0.001695663,0.382447746
LOC105448051,neut,0.018745663,neut,-0.534082588,0.006205674,0.533094484
LOC105448052,neut,0.736041774,pos,1.224697017,0.003721583,0.512833657
LOC105448053,neut,0.972834261,pos,-0.293131925,0.007671243,1.691036582
LOC105448054,neut,0.732262051,neut,0.321538892,0.0026117,-0.31421733
LOC105448055,neut,1.70483487,pos,2.659700218,0.001931316,0.329216359
LOC105448057,neut,0.103763482,neut,-0.516911951,0.004264595,0.65812409
LOC105448058,neut,0.679156215,neut,0.135007775,0.003049052,0.866624297
LOC105448059,neut,1.387780829,pos,1.315651228,0.003300018,-0.288242825
LOC105448060,neut,-0.874036665,neut,-0.082701105,0.003999286,0.8472611
LOC105448061,neut,0.509664555,neut,-0.65282439,0.004293726,0.386270614
LOC105448062,neut,0.834395538,pos,-0.388666545,0.004527018,0.593759444
LOC105448063,neut,0.872238225,pos,-0.815459693,0.003720086,-0.135012641
LOC105448064,neut,1.348279588,pos,-0.617933828,0.002248425,-0.05940811
LOC105448065,neut,0.177206003,neut,-0.760106598,0.002167722,0.438846277
LOC105448066,neut,-0.263354144,neut,-0.7871596,0.007743802,1.781138457
LOC105448067,neut,-0.262229538,neut,-0.595287529,0.002562022,4.10947408
LOC105448068,neut,-0.929736725,neg,-0.218464256,0.002621754,0.765232577
LOC105448069,neut,0.723828519,pos,-0.120408805,0.002533128,1.306399234
LOC105448070,neut,1.974135005,pos,-0.261146852,0.003691923,1.302208975
LOC105448071,neut,-1.014274929,neg,-0.306437641,0.003122294,1.552031657
LOC105448072,neut,-0.643245611,neut,-0.797886647,0.001666068,0.800509886
LOC105448073,neut,0.158407853,neut,0.186103942,0.007402233,0.057513106
LOC105448074,neut,-0.293513002,neut,0.366032071,0.00100494,0.932640431
LOC105448075,neut,-0.969311267,neg,-0.557258448,0.002296985,0.734327803
LOC105448076,neg,1.844055845,pos,3.766329877,0.00398682,-0.925780152
LOC105448077,neut,0.52630683,neut,2.870053378,0.003023047,1.086578717
LOC105448078,neut,1.213153373,pos,2.14650246,0.002673729,-0.20026452
LOC105448079,neut,0.083238424,neut,-0.352547678,0.005173916,0.785707888
LOC105448080,neut,1.130259106,pos,0.328737209,0.003175857,0.168396513
LOC105448081,neut,0.606477066,neut,0.081262815,0.001823633,0.648738023
LOC105448082,neut,1.533049048,pos,-0.320255032,0.001972725,0.593769846
LOC105448085,neut,1.865711541,pos,-0.703159535,0.002310337,-0.587064909
LOC105448086,neut,0.806595532,pos,-0.112932226,0.003714475,1.245148484
LOC105448087,neut,0.298547671,neut,19.72609664,0.002338366,0.199466324
LOC105448088,neut,0.919315939,neut,8.108123367,0.001483567,0.538903611
LOC105448089,neut,-1.693112789,neg,-0.689707141,0.001512129,1.317228939
LOC105448090,neut,0.237816343,neut,-0.37020765,0.004340959,0.054794012
LOC105448091,neut,-0.745074885,neut,0.4711907,0.00125635,0.688289567
LOC105448092,neut,1.246972973,pos,0.238721783,0.004925052,0.115537321
LOC105448094,neut,0.002468811,neut,-0.150045938,0.002168914,0.25404106
LOC105448097,neut,0.010530455,neut,-0.435953711,0.001270829,0.506703432
LOC105448098,neut,0.080325119,neut,-0.82479828,0.002749772,0.37988986
LOC105448099,neut,0.998310502,pos,0.213166468,0.006408011,-0.387549905
LOC105448100,neut,1.123776862,pos,0.398337904,0.005992418,1.535795481
LOC105448101,neut,0.149743513,neut,2.003623618,0.003384307,0.413164397
LOC105448102,neut,1.261933289,pos,0.23498146,0.004024381,-0.625519186
LOC105448103,neut,1.63434367,pos,5.767580611,0.001330838,0.030455231
LOC105448104,neut,0.283681969,neut,-0.375445713,0.003014689,-0.097323432
LOC105448105,neut,1.433517652,pos,0.825480689,0.002774319,-0.617285551
LOC105448106,neut,1.219149515,pos,-0.102306081,0.0015164,0.140382618
LOC105448107,neut,-1.336733947,neg,-0.302485288,0.002647293,1.063327289
LOC105448108,neut,1.097041468,pos,2.158314611,0.003680518,-0.285681588
LOC105448109,neut,0.756158278,pos,0.457552667,0.00347094,1.921051907
LOC105448110,neut,-1.377584612,neg,-0.69225393,0.004158354,1.069558459
LOC105448111,neut,-0.586712117,neut,-0.320490443,0.002791119,0.189806541
LOC105448112,neut,-0.438531247,neut,-0.622833098,0.001014083,0.814334909
LOC105448113,neut,1.890595036,pos,1.597916269,0.004669495,0.305148432
LOC105448114,neut,0.253324296,neut,-0.512830277,0.001918979,0.144896349
LOC105448115,neut,-0.639483901,neg,0.378222678,0.004733156,0.327480904
LOC105448116,neut,1.64652537,pos,-0.413631522,0.002885306,0.632718744
LOC105448119,neut,0.724789824,neut,0.43862056,0.001743154,0.003389588
LOC105448121,neut,0.617074645,neut,2.173443221,0.001698466,0.343308046
LOC105448122,neut,0.189135104,neut,8.686462072,0.001203581,0.149492564
LOC105448123,neut,1.073432066,pos,0.434484243,0.002248655,0.021048173
LOC105448124,neut,0.539400531,neut,-0.322954414,0.000848941,-0.010945515
LOC105448125,neg,0.090599188,neut,0.88907733,0.002788661,-1.383172649
LOC105448126,neut,-0.538499156,neut,-0.026475075,0.002189184,0.315855726
LOC105448127,neut,-0.595790876,neut,2.639578197,0.001764071,0.536460784
LOC105448129,neut,-0.468517903,neut,0.230019542,0.002372209,0.596152409
LOC105448130,neut,-0.400662466,neut,0.383922946,0.000995198,0.145193364
LOC105448131,neut,0.747323107,pos,-0.381984516,0.002446073,-0.218800653
LOC105448132,neut,0.045376387,neut,0.654570168,0.001278457,0.169654054
LOC105448133,neut,1.000154061,pos,0.054290019,0.00235266,-0.181407544
LOC105448134,neut,-0.101314525,neut,-0.364786104,0.001104796,0.884528261
LOC105448135,neut,0.720533604,neut,0.459590343,0.002825323,1.364588985
LOC105448136,neut,-0.982247081,neut,0.238366337,0.001022337,0.50932064
LOC105448137,neut,0.643813204,pos,-0.213298914,0.001702138,2.367598438
LOC105448138,neut,-0.199710367,neut,-0.351699766,0.001621403,0.585884015
LOC105448139,neut,0.069337804,neut,0.725468535,0.002399488,1.458081052
LOC105448140,neut,-0.859348161,neut,0.16811384,0.003361991,1.034057584
LOC105448141,neut,0.236774564,neut,-0.243948674,0.002891352,-0.193045807
LOC105448142,neut,0.064324972,neut,-0.332992855,0.001915972,-0.130068289
LOC105448144,neut,-0.729483255,neut,0.074299627,0.001275252,0.914699131
LOC105448145,neut,-0.820223454,neut,-0.202709337,0.001037807,0.884850267
LOC105448146,neut,1.509439439,pos,3.381040326,0.001161012,0.567221572
LOC105448147,neut,-0.16121971,neut,0.319956063,0.002304395,-0.766428367
LOC105448148,neut,0.1887335,neut,0.076241104,0.001863106,2.869214349
LOC105448149,neut,2.546573534,pos,-0.046868241,0.001254937,1.34411037
LOC105448150,neut,1.092189056,pos,1.143200311,0.002223006,0.458267127
LOC105448151,neut,-0.12077777,neut,0.250008716,0.00256168,0.105861589
LOC105448152,neut,-0.44793588,neut,-0.119098782,0.002897086,0.619722152
LOC105448154,neut,1.06406275,pos,-0.24660424,0.002800958,0.062142508
LOC105448155,neut,-1.183623025,neg,-0.589972588,0.003374381,1.071152014
LOC105448156,neut,-1.074625712,neut,-0.689295763,0.000885,1.031152607
LOC105448157,neut,-1.024585581,neut,2.451383537,0.001143778,0.132692751
LOC105448158,neut,0.02589233,neut,-0.279740224,0.003416643,1.208973638
LOC105448159,neut,0.131357071,neut,-0.686977358,0.005484208,0.684005551
LOC105448161,neut,-0.00464298,neut,-0.060246342,0.002934846,0.91212615
LOC105448162,neut,0.030212473,neut,0.400285184,0.001665954,0.728937693
LOC105448163,neut,-0.454230813,neut,-0.528467052,0.001461124,0.957175354
LOC105448164,neut,1.074727996,pos,0.630797267,0.003162644,1.313451058
LOC105448165,neut,-0.648221101,neut,0.122744209,0.002916472,1.109876767
LOC105448166,neut,0.437879826,neut,0.476142363,0.004190602,0.216190714
LOC105448167,neut,0.962239361,pos,-0.08381144,0.001765254,-0.236397113
LOC105448168,neut,0.323246622,neut,-0.678034736,0.002109548,0.357873906
LOC105448169,neut,-0.695146197,neut,-0.371729129,0.001562768,1.807033418
LOC105448170,neut,0.260925082,neut,-0.193435031,0.001536082,0.273437741
LOC105448171,neut,1.411686598,pos,0.331756867,0.001556684,0.539008447
LOC105448172,neut,1.355021846,pos,-0.397014296,0.002212189,0.1179132
LOC105448173,neut,0.117031585,neut,0.363643015,0.001388799,0.086923794
LOC105448174,neut,-0.882445852,neut,-0.087494752,0.000757143,0.42554465
LOC105448175,neut,-0.626387487,neut,-0.668730133,0.001056553,0.876239933
LOC105448176,neut,0.333520085,neut,-0.853051045,0.004295012,0.219238024
LOC105448178,neut,-0.840816517,neg,0.917631229,0.002075376,0.637289787
LOC105448179,neut,0.496648079,neut,-0.264110064,0.001335909,0.483736011
LOC105448180,neut,-0.261914813,neut,-0.151060618,0.000445105,0.354175317
LOC105448181,neut,-0.818238768,neg,1.017327503,0.002373519,0.218368322
